LR_iteration,Stepsize,path_node_seq,path_ime_sequence
initialization, ,11;4;2;1;12;,1;2;4;6;7;,
1,1.000000,11;4;2;7;2;5;9;5;6;8;6;3;10;3;1;12;,1;2;4;5;6;7;8;9;10;11;12;13;14;15;17;18;,
2,0.500000,11;4;2;7;2;5;9;5;6;8;6;3;10;3;1;12;,1;2;4;5;6;7;8;9;10;11;12;13;14;15;17;18;,
3,0.333333,11;4;2;7;2;5;9;5;6;8;6;3;10;3;1;12;,1;2;4;5;6;7;8;9;10;11;12;13;14;15;17;18;,
4,0.250000,11;4;2;7;2;5;9;5;6;8;6;3;10;3;1;12;,1;2;4;5;6;7;8;9;10;11;12;13;14;15;17;18;,
5,0.200000,11;4;2;7;2;5;9;5;6;8;6;3;10;3;1;12;,1;2;4;5;6;7;8;9;10;11;12;13;14;15;17;18;,
6,0.166667,11;4;2;7;2;5;9;5;6;8;6;3;10;3;1;12;,1;2;4;5;6;7;8;9;10;11;12;13;14;15;17;18;,
7,0.142857,11;4;2;7;2;5;9;5;6;8;6;3;10;3;1;12;,1;2;4;5;6;7;8;9;10;11;12;13;14;15;17;18;,
8,0.125000,11;4;2;7;2;5;9;5;6;8;6;3;10;3;1;12;,1;2;4;5;6;7;8;9;10;11;12;13;14;15;17;18;,
9,0.111111,11;4;2;7;2;5;9;5;6;8;6;3;10;3;1;12;,1;2;4;5;6;7;8;9;10;11;12;13;14;15;17;18;,
Upperbound:, ,11;4;2;7;2;5;9;5;6;8;6;3;10;3;1;12;,1;2;4;5;6;7;8;9;10;11;12;13;14;15;17;18;,
