LR_iteration,Stepsize,path_node_seq,path_ime_sequence
0,1.000000,13;4;2;1;14;,1;2;4;6;7;,
1,1.000000,13;4;2;7;2;5;9;5;6;11;6;3;8;3;10;3;1;12;1;14;,1;2;4;5;6;7;8;9;10;11;12;13;14;15;16;17;19;20;21;22;,
2,0.500000,13;4;2;7;2;5;9;5;6;11;6;3;8;3;10;3;1;12;1;14;,1;2;4;5;6;7;8;9;10;11;12;13;14;15;16;17;19;20;21;22;,
3,0.333333,13;4;2;7;2;5;9;5;6;11;6;3;8;3;10;3;1;12;1;14;,1;2;4;5;6;7;8;9;10;11;12;13;14;15;16;17;19;20;21;22;,
4,0.250000,13;4;2;7;2;5;9;5;6;11;6;3;8;3;10;3;1;12;1;14;,1;2;4;5;6;7;8;9;10;11;12;13;14;15;16;17;19;20;21;22;,
5,0.200000,13;4;2;7;2;5;9;5;6;11;6;3;8;3;10;3;1;12;1;14;,1;2;4;5;6;7;8;9;10;11;12;13;14;15;16;17;19;20;21;22;,
6,0.166667,13;4;2;7;2;5;9;5;6;11;6;3;8;3;10;3;1;12;1;14;,1;2;4;5;6;7;8;9;10;11;12;13;14;15;16;17;19;20;21;22;,
7,0.142857,13;4;2;7;2;5;9;5;6;11;6;3;8;3;10;3;1;12;1;14;,1;2;4;5;6;7;8;9;10;11;12;13;14;15;16;17;19;20;21;22;,
8,0.125000,13;4;2;7;2;5;9;5;6;11;6;3;8;3;10;3;1;12;1;14;,1;2;4;5;6;7;8;9;10;11;12;13;14;15;16;17;19;20;21;22;,
9,0.111111,13;4;2;7;2;5;9;5;6;11;6;3;8;3;10;3;1;12;1;14;,1;2;4;5;6;7;8;9;10;11;12;13;14;15;16;17;19;20;21;22;,
Upperbound:, ,13;4;2;7;2;5;9;5;6;11;6;3;8;3;10;3;1;12;1;14;,1;2;4;5;6;7;8;9;10;11;12;13;14;15;16;17;19;20;21;22;,
