LR_iteration,Stepsize,path_node_seq,path_ime_sequence
initialization, ,11;4;2;1;12;,1;2;4;6;7;,
1,1.000000,11;4;2;1;12;,1;2;4;6;7;,
2,0.500000,11;4;2;1;12;,1;2;4;6;7;,
3,0.333333,11;4;2;1;12;,1;2;4;6;7;,
4,0.250000,11;4;2;1;12;,1;2;4;6;7;,
5,0.200000,11;4;2;7;2;1;8;1;12;,1;2;4;5;6;8;9;10;11;,
6,0.166667,11;4;2;7;2;1;8;1;12;,1;2;4;5;6;8;9;10;11;,
7,0.142857,11;4;2;7;2;1;8;1;12;,1;2;4;5;6;8;9;10;11;,
8,0.125000,11;4;2;7;2;1;8;1;12;,1;2;4;5;6;8;9;10;11;,
9,0.111111,11;4;2;7;2;1;8;1;12;,1;2;4;5;6;8;9;10;11;,
10,0.100000,11;4;2;7;2;1;8;1;12;,1;2;4;5;6;8;9;10;11;,
11,0.100000,11;4;2;7;2;1;8;1;12;,1;2;4;5;6;8;9;10;11;,
12,0.100000,11;4;2;7;2;1;8;1;12;,1;2;4;5;6;8;9;10;11;,
13,0.100000,11;4;2;7;2;1;8;1;12;,1;2;4;5;6;8;9;10;11;,
14,0.100000,11;4;2;7;2;1;8;1;12;,1;2;4;5;6;8;9;10;11;,
Upperbound:, ,11;4;2;7;2;1;8;1;12;,1;2;4;5;6;8;9;10;11;,
